word1	word2	anc1	anc2	fsg	bsg	con1	con2	nphon1	nphon2	easiness	index
sport	football	6.54	7.05	0.303	0.099	4.18	5.75	5	6	5.673	59974
visitor	guest	5.545	5.986	0.365	0.164	5.58	5.15	6	4	5.656	69309
plaque	teeth	4.762	6.146	0.414	0	5.56	6.14	4	3	5.622	46976
station	gas	7.229	7.217	0.241	0.051	5.48	5.34	6	3	5.61	60804
sailing	boat	5.398	6.764	0.359	0.016	4.88	6.33	5	3	5.61	54307
van	truck	6.73	6.542	0.214	0.068	6.2	7	3	4	5.594	68591
desk	chair	6.38	6.567	0.29	0.019	5.79	6.12	4	3	5.568	17472
coat	jacket	6.082	5.72	0.176	0.564	5.83	6.31	3	5	5.568	12016
foot	toe	7.179	4.812	0.235	0.605	3.46	5.96	3	2	5.497	25124
loud	noise	6.078	6.562	0.297	0.34	3.93	5.29	3	3	5.487	37234
geometry	math	5.112	6.368	0.534	0	3.33	3.78	8	3	5.478	27055
venom	poison	4.205	5.342	0.509	0	5.13	5.65	5	5	5.459	68859
burn	fire	6.052	7.748	0.266	0.055	4.81	6.13	3	3	5.443	8204
pun	joke	4.691	6.609	0.575	0	2.65	3.48	3	3	5.401	50049
vessel	ship	5.416	6.335	0.347	0	5.85	6.25	5	3	5.4	68927
blossom	flower	3.989	5.841	0.441	0.018	6.62	5.62	6	4	5.396	6173
moist	wet	4.304	6.209	0.543	0	3.51	4.74	4	3	5.385	40303
toast	bread	5.283	6.378	0.364	0	5.54	6.18	4	4	5.381	65421
fruit	apple	6.323	6.252	0.223	0.154	6	7	4	4	5.379	26179
quiet	loud	6.744	6.078	0.403	0.115	3.7	3.93	5	3	5.379	50429
mob	crowd	5.505	6.632	0.362	0.067	5.1	5.34	3	4	5.353	40244
ranch	horse	5.338	6.486	0.339	0	6.18	6.03	4	4	5.352	50824
boot	shoes	5.209	6.644	0.338	0	5.54	6.63	3	3	5.349	6658
