order	word1	word2	word1e	word2e	easiness
1487	fast	rapid	5.913	2.612	4.263
728	wonder	guess	3.217	5.283	4.25
330	organ	liver	4.147	4.351	4.249
1695	pig	boar	7.757	0.735	4.246
153	vegetable	lettuce	4.774	3.696	4.235
1544	fish	carp	8.293	0.167	4.23
819	parade	march	3.521	4.937	4.229
1942	march	parade	4.937	3.521	4.229
1165	junior	student	2.323	6.127	4.225
688	fall	tumble	7.262	1.182	4.222
445	oak	maple	4.813	3.63	4.221
1478	slit	cut	0.506	7.918	4.212
811	past	future	4.844	3.579	4.211
1938	tool	pliers	6.971	1.432	4.202
1464	husband	marriage	5.977	2.421	4.199
1107	ocean	coral	6.287	2.059	4.173
1143	tight	grip	4.435	3.91	4.173
352	save	destroy	5.515	2.817	4.166
1161	worth	bet	3.413	4.914	4.163
1874	market	profit	6.104	2.216	4.16
11	neck	noose	7.784	0.516	4.15
1388	salute	flag	1.612	6.675	4.143
1380	blossom	spring	2.589	5.693	4.141
740	warehouse	truck	0.938	7.336	4.137
1737	pearl	ruby	4.521	3.743	4.132
1744	shield	helmet	4.182	4.08	4.131
1352	widow	husband	2.275	5.977	4.126
586	power	control	4.346	3.899	4.122
387	danger	warn	3.999	4.23	4.114
343	tobacco	pipe	4.203	4.022	4.113
790	dock	sail	3.502	4.718	4.11
1137	wad	cash	1.175	7.038	4.106
1658	cotton	wool	4.596	3.606	4.101
1052	saloon	town	0.153	8.047	4.1
1041	period	history	4.206	3.971	4.088
508	sever	tie	0.261	7.907	4.084
371	breakfast	supper	5.188	2.976	4.082
338	pound	weigh	4.956	3.183	4.07
500	flush	drain	3.355	4.754	4.054
233	plane	cockpit	6.493	1.614	4.053
610	pineapple	pear	2.26	5.839	4.049
1343	statue	marble	4.103	3.996	4.049
1892	volcano	mountain	2.814	5.264	4.039
35	magazine	shopper	5.576	2.499	4.038
30	moss	soil	2.614	5.459	4.037
184	lighter	smoke	1.237	6.835	4.036
1385	corridor	floor	0.854	7.203	4.028
946	narrow	path	2.532	5.488	4.01
483	ditch	dump	3.406	4.603	4.005
